experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,fabric,fabric1,1,20.907,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,2,21.658,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,3,22.165,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,4,19.404,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,5,17.232,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,6,14.846,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,7,14.138,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,8,17.18,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,9,15.593,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,10,16.645,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,11,17.794,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,12,15.399,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,13,18.118,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,14,19.004,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,15,15.142,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,16,13.63,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,17,13.514,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,18,11.517,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,19,19.325,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,20,16.504,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,21,14.076,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,22,14.976,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,23,12.698,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,24,13.652,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,25,15.28,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,26,13.298,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,27,13.239,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,28,11.754,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,29,10.74,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,30,11.611,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,31,11.476,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,32,13.865,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,33,12.463,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,34,28.84,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,35,20.063,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,36,17.304,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,37,14.612,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,38,13.128,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,39,13.771,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,40,17.22,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,41,12.141,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,42,11.965,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,43,10.123,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,44,9.992,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,45,10.889,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,46,11.294,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,47,12.3,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,48,11.623,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,49,10.526,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,50,13.193,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,51,10.778,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,52,11.622,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,53,13.561,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,54,13.368,200,linux_x86_64
